column1	column2	column1_stemmed	column2_stemmed	column1_lemmatized	column2_lemmatized
hi, doing?	i'm fine. yourself?	hi, doing?	i'm fine. yourself?	hi, doing?	i'm fine. yourself?
i'm fine. yourself?	i'm pretty good. thanks asking.	i'm fine. yourself?	i'm pretty good. thanks asking.	i'm fine. yourself?	i'm pretty good. thanks asking.
i'm pretty good. thanks asking.	problem. been?	i'm pretty good. thanks asking.	problem. been?	i'm pretty good. thanks asking.	problem. been?
problem. been?	i've great. you?	problem. been?	i've great. you?	problem. been?	i've great. you?
i've great. you?	i've good. i'm school right now.	i've great. you?	i've good. i'm school right now.	i've great. you?	i've good. i'm school right now.
i've good. i'm school right now.	school to?	i've good. i'm school right now.	school to?	i've good. i'm school right now.	school to?
school to?	pcc.	school to?	pcc.	school to?	pcc.
pcc.	like there?	pcc.	like there?	pcc.	like there?
like there?	it's okay. it's big campus.	like there?	it's okay. it's big campus.	like there?	it's okay. it's big campus.
it's okay. it's big campus.	good luck school.	it's okay. it's big campus.	good luck school.	it's okay. it's big campus.	good luck school.
good luck school.	thank much.	good luck school.	thank much.	good luck school.	thank much.
how's going?	i'm well. you?	how's going?	i'm well. you?	how's going?	i'm well. you?
i'm well. you?	better, thanks.	i'm well. you?	better, thanks.	i'm well. you?	better, thanks.
better, thanks.	lately?	better, thanks.	lately?	better, thanks.	lately?
lately?	i've actually pretty good. you?	lately?	i've actually pretty good. you?	lately?	i've actually pretty good. you?
i've actually pretty good. you?	i'm actually school right now.	i've actually pretty good. you?	i'm actually school right now.	i've actually pretty good. you?	i'm actually school right now.
i'm actually school right now.	school attend?	i'm actually school right now.	school attend?	i'm actually school right now.	school attend?
school attend?	i'm attending pcc right now.	school attend?	i'm attending pcc right now.	school attend?	i'm attending pcc right now.
i'm attending pcc right now.	enjoying there?	i'm attending pcc right now.	enjoying there?	i'm attending pcc right now.	enjoying there?
enjoying there?	it's bad. lot people there.	enjoying there?	it's bad. lot people there.	enjoying there?	it's bad. lot people there.
it's bad. lot people there.	good luck that.	it's bad. lot people there.	good luck that.	it's bad. lot people there.	good luck that.
